Chapter,Description,Tool,Link
1 Project initiation,Hydrolgical information,HydroSHEDS,https://www.hydrosheds.org
1 Project initiation,Climate data,,
1 Project initiation,Landuse data,,
1 Project initiation,Governance idex,,
1 Project initiation,Capacity assessment,A Brief Review of 20 Tools to Assess Capacity,https://www.humanitarianlibrary.org/sites/default/files/2014/02/capacity_development_group_undp_2005_brief_review_20_tools_to_assess.pdf
1 Project initiation,Data quality assurance,,
1 Project initiation,Integrated Water Resources Management,Tracking global progress on implementation of Integrated Water Resources Management,http://iwrmdataportal.unepdhi.org
1 Project initiation,Data quality assurance,Quality Assurance Project Plan Development Tool,https://www.epa.gov/quality/quality-assurance-project-plan-development-tool
