Y,X,Sampling year,Reference,Study,Time,PO4 mg/l,PO4_sd,NO2 mg/l,NO2_sd,COD mg/l,COD_sd,BOD mg/l,BOD_sd,DO mg/l,DO_sd,pH,pH_sd,TDS mg/l,TDS_sd,Temp,Temp_sd,TKN,TKN_sd,NO3-N,NO3_sd,EC,EC_sd,NO3 mg/l,Na mg/l,K mg/l,Ca mg/l,Mg mg/l,HCO3 mg/l,Cl mg/l,SO4 mg/l,SiO2 mg/l,Cr µg/l,Cr_sd,Mn  µg/l,Mn_sd,Ni  µg/l,Ni_sd,Zn µg/l,Zn_sd,As µg/l,Pb  µg/l,Pb_sd,Cd  µg/l,Cd_sd,Co  µg/l,Co_sd,Cu  µg/l,Cu_sd,NH3 mg/l,Cd mg/kg,Cd_sd mg/kg,Cr mg/kg,Cr_sd mg/kg,Cu mg/kg,Cu_sd mg/kg,Fe mg/kg,Fe_sd mg/kg,Pb mg/kg,Pb_mg/kg,Mn mg/kg,Mn_sd mg/kg,Ni mg/kg,Ni_sd mg/kg,Zn mg/kg,Zn_sd mg/kg
38.720744,9.0509517,2020,An_M01,Angello2020,Yearly,5.5,1.3,0.06,0.02,1146,106,101.2,80.9,1.53,0.3,7.2,0.08,502,74,12.8,0.5,28.2,4.8,0.35,0.09,1022,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7177679,9.0419605,2020,An_M02,Angello2020,Yearly,4.5,0.03,0.07,0.03,912,308,110.8,30.5,3.2,0.44,7.2,0.02,440.8,39.5,12.9,0.4,40.8,6.2,0.23,0.17,899.8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7277552,9.0140997,2020,An_M03,Angello2020,Yearly,3.02,2,0.08,0.004,1477,250,582.3,10.3,0.25,0.02,5.6,0.5,699.75,93,18.7,0.22,61.6,16.4,0.74,0.5,1415,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7382866,8.9977386,2020,An_M04,Angello2020,Yearly,5.2,0.23,0.11,0.01,1936,357,316.4,98.1,0.12,0.01,7.2,0.07,638.2,52.4,19.8,0.06,42.2,3.9,0.92,0.23,1293.3,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7468525,8.9879809,2020,An_M05,Angello2020,Yearly,7.8,1.62,0.11,0.02,1442,355,389.2,35.9,0.11,0.01,7.2,0.2,724.2,38.8,19.7,0.08,44.6,2.4,0.72,0.22,1464,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7019785,9.0341714,2020,An_M06,Angello2020,Yearly,5.5,0.6,0.06,0.02,1269,409,481,104,2.06,0.53,6.9,0.24,481.8,31.3,16.2,0.21,84.1,12.1,0.4,0.12,984,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7095653,8.9893902,2020,An_M07,Angello2020,Yearly,3.96,1,0.03,0.02,771,344,180.4,104,4.8,0.84,7.5,0.4,514.5,80.7,15.8,0.13,40.6,5.4,0.37,0.06,1046.8,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7168318,8.9856582,2020,An_M08,Angello2020,Yearly,1.2,0.1,0.01,0.001,1078,403,139.2,10.1,2.9,0.43,6.8,0.06,634.5,117,21.1,0.77,27.6,1.6,1.8,0.43,1286,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7347465,8.9657244,2020,An_M09,Angello2020,Yearly,3.9,0.2,0.04,0.02,1467,554,284.8,98.8,0.14,0.03,6.9,0.08,677.8,84.2,20.7,1.02,43.8,1.4,0.94,0.33,1380,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7499287,8.9593517,2020,An_M10,Angello2020,Yearly,4.99,0.7,0.07,0.01,1112,515,161.4,71,0.36,0.02,7.2,0.2,641.5,51.4,19.2,0.42,55.4,13.5,1.33,0.68,1300.3,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7593323,8.9497276,2020,An_M11,Angello2020,Yearly,5.3,0.2,0.03,0.006,988,332,117.1,7.9,0.2,0.1,7.3,0.17,638.2,46.1,19.4,0.7,85,21.6,1.3,0.41,1294.3,79.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7575119,8.9315445,2020,An_M12,Angello2020,Yearly,6.3,1.7,0.27,0.22,1056,402,129.7,38.9,0.1,0.04,7.6,0.05,665.8,26.8,20.5,0.8,50,8.3,0.95,0.1,1347.5,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7456587,8.9028335,2020,An_M13,Angello2020,Yearly,6.7,1.4,0.084,0,1011,488,117.1,12.9,1.02,0.23,7.6,0.03,685.5,57.4,19.8,0.33,38.8,1.35,0.82,0.22,1387.5,81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7468174,8.8811842,2020,An_M14,Angello2020,Yearly,6.63,1.1,0.05,0.02,1076,427,63.3,25.9,0.8,0.4,7.5,0.03,692.5,80.9,21.4,0.21,43.3,3.1,1.05,0.35,1401.5,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6888041,9.0460601,2020,An_M15,Angello2020,Yearly,0.36,0.1,0.3,0.08,594,290,60.1,10,5.8,0.8,7.6,0.11,224.6,37.3,13.1,0.26,12.5,0.96,0.2,0.09,464.8,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7186742,9.0511731,2020,An_T02,Angello2020,Yearly,2.09,1.9,0.33,0.27,506.8,154,70.8,75.2,5.2,0.72,7.7,0.32,358.3,71.1,18.6,0.91,26.1,15.7,0.27,0.02,749.8,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7395517,9.0103125,2020,An_T04,Angello2020,Yearly,8.7,6.3,0.08,0.03,1167,280,518,150,0.14,0.04,7.2,0.15,877,138,24,0.83,70.5,23.5,0.17,0.13,1704.7,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7262647,9.0187057,2020,An_T03,Angello2020,Yearly,14.5,2.9,0.15,0.03,1697,502,520,126,0.14,0.05,7,0.18,821.3,115,20.8,0.93,129,32.4,0.1,0.08,1601.7,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6879881,9.0561142,2020,An_T07,Angello2020,Yearly,1.37,0.7,0.35,0.46,310.5,187,82.3,50.9,3.54,1.27,7.2,0.25,364.8,41.9,19.1,1.11,30.3,8.5,0.03,0.01,761.7,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7272155,9.0637925,2020,An_T01,Angello2020,Yearly,4.76,2,0.07,0.05,656.5,460,127.7,97.7,1.35,1.11,7.1,0.2,412.8,36.1,16.9,0.95,42.9,16,0.17,0.15,850.1,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7479598,8.958418,2020,An_T05,Angello2020,Yearly,5.2,0.9,0.09,0.04,497.3,222,94.5,104,0.95,0.98,7.4,0.18,496,57.2,23.7,1.49,33.1,3.26,0.16,0.14,1003.2,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7321607,8.9535713,2020,An_T06,Angello2020,Yearly,4,1.4,0.08,0.01,440.3,150,112.4,78.5,0.22,0.06,7.7,0.21,584.8,51.3,24.8,1.42,96.6,64.6,0.24,0.09,1166.5,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.722167,9.0672121,1999,AL_01,Alemayehu2001,"June 1999, before noon",0.13,,,,8,,,,,,6.1,,,,,,,,,,,,86.19,31,3,25,12,57.96,49.5,Nd,55.5,0,,34.1,,44.5,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
38.7468525,8.9879809,1999,Al_02,Alemayehu2002,"June 1999, before noon",3.65,,,,80,,,,,,7.68,,,,,,,,,,,,23.51,76,28,53,26,219.7,109.9,8.3,32.9,5.5,,1230.2,,9.2,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
38.7432898,8.8960751,1999,Al_03,Alemayehu2003,"June 1999, before noon",3.03,,,,24,,,,,,7.51,,,,,,,,,,,,9.66,90,24,50,23,176.7,102.5,0.44,16.23,14.1,,1756.7,,4.8,,0,,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,
38.7820164,9.0658499,1999,Al_04,Alemayehu2004,"June 1999, before noon",Nd,,,,14.4,,,,,,6.08,,,,,,,,,,,,531,15,6,15,5,6.1,8.6,23,27,0,,12.3,,0,,0,,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,
38.778748,9.0500005,1999,Al_05,Alemayehu2005,"June 1999, before noon",Nd,,,,27.2,,,,,,7.22,,,,,,,,,,,,188.14,74,21,67,35,219.7,106,19.7,32.1,0,,6531.6,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
38.777968,9.0023613,1999,Al_06,Alemayehu2006,"June 1999, before noon",2.09,,,,20,,,,,,7.48,,,,,,,,,,,,8.96,28,17,36,15,122.04,32.2,9.26,33.6,0,,1219.01,,0,,0,,0.59,0,,,,,,,,,,,,,,,,,,,,,,,,
38.7574571,9.0232571,1999,AL_09,Alemayehu2007,"June 1999, before noon",3.78,,,,40,,,,,,7.6,,,,,,,,,,,,9.53,44,23,44,23,158.7,40.6,24.11,47.08,0,,1550.8,,0,,81.53,,0.096,0,,,,,,,,,,,,,,,,,,,,,,,,
38.7293566,9.0652102,1999,Al_10,Alemayehu2008,"June 1999, before noon",0.89,,,,17.6,,,,,,6.32,,,,,,,,,,,,184.6,33,8,22,11,30.5,34,6.5,30,0,,128.6,,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
38.6890027,9.0549768,2011,Ak_01,Akele2016,November and Dicember 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.4,4250,32,38,1,825,4,,52,1,<1,,12,0.1,1070,6,,,,,,,,,,,,,,,,,
