Y,X,Sampling year,Reference,Study,Time,PO4 mg/l,PO4_sd,NO2 mg/l,NO2_sd,COD mg/l,COD_sd,BOD mg/l,BOD_sd,DO mg/l,DO_sd,pH,pH_sd,TDS mg/l,TDS_sd,Temp,Temp_sd,TKN,TKN_sd,NO3-N,NO3_sd,EC,EC_sd,NO3 mg/l,Na mg/l,K mg/l,Ca mg/l,Mg mg/l,HCO3 mg/l,Cl mg/l,SO4 mg/l,SiO2 mg/l,Cr µg/l,Cr_sd,Mn  µg/l,Mn_sd,Ni  µg/l,Ni_sd,Zn µg/l,Zn_sd,As µg/l,Pb  µg/l,Pb_sd,Cd  µg/l,Cd_sd,Co  µg/l,Co_sd,Cu  µg/l,Cu_sd,NH3 mg/l,Cd mg/kg,Cd_sd mg/kg,Cr mg/kg,Cr_sd mg/kg,Cu mg/kg,Cu_sd mg/kg,Fe mg/kg,Fe_sd mg/kg,Pb mg/kg,Pb_mg/kg,Mn mg/kg,Mn_sd mg/kg,Ni mg/kg,Ni_sd mg/kg,Zn mg/kg,Zn_sd mg/kg
38.708388,9.0198847,2002,Me_12,Mekalu2007,November 2002 to January 2003,,,,,70,,17,,0.6,,7.9,,440,,17.4,,,,,,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7098898,9.0186921,2002,Me_13,Mekalu2007,November 2002 to January 2003,,,,,44,,16,,1.3,,7.8,,557,,17.8,,,,,,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7115467,9.0063507,2002,Me_14,Mekalu2007,November 2002 to January 2003,,,,,49,,7.2,,2.1,,7.9,,487,,19,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7099676,8.9874189,2002,Me_15,Mekalu2007,November 2002 to January 2003,,,,,30,,9,,1.9,,7.8,,442,,15.3,,,,,,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7293476,8.966965,2002,Me_16,Mekalu2007,November 2002 to January 2003,,,,,_,,_,,_,,_,,_,,-,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7337033,8.9711014,2002,Me_17,Mekalu2007,November 2002 to January 2003,,,,,275,,61,,0.7,,7.9,,456,,17,,,,,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7447411,8.9606987,2002,Me_18,Mekalu2007,November 2002 to January 2003,,,,,263,,91,,0.1,,7.4,,460,,18.8,,,,,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7491528,8.957655,2002,Me_19,Mekalu2007,November 2002 to January 2003,,,,,216,,62,,0.2,,7.6,,439,,19,,,,,,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7595297,8.9496174,2002,Me_20,Mekalu2007,November 2002 to January 2003,,,,,94,,40,,1.4,,7.7,,459,,18.8,,,,,,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.759607,8.9475571,2002,Me_21,Mekalu2007,November 2002 to January 2003,,,,,533,,204,,1.3,,7.6,,491,,19.4,,,,,,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
